Abreviatura,Nombre,URL,URL,vencida,Esta en wikidata,URL Wikidata
 3dmet	Three-Dimensional Structure Database of Natural Metabolites	 http://www.3dmet.dna.affrc.go.jp/	NO	SI	https://www.wikidata.org/wiki/Q23948774	
 csp	Computer Retrieval of Information on Science Projects Thesaurus	 https://web.archive.org/web/20091223034048/http://crisp.cit.nih.gov/Thesaurus/index.htm	SI	NO	por definir	
 cst	Cell Signaling Technology Pathway Database	 http://www.cellsignal.com/pathways/index.html	NO	NO	por definir	
 cst.ab	Cell Signaling Technology Antibody	 http://www.cellsignal.com/catalog/index.html	NO	NO	por definir	
 ctd.chemical	CTD Chemical	 http://ctdbase.org/	NO	NO	por definir	
 ctd.disease	CTD Disease	 http://ctdbase.org/	NO	NO	por definir	
 ctd.gene	CTD Gene	 http://ctdbase.org/	NO	NO	por definir	
 cteno	Ctenophore Ontology	 https://github.com/obophenotype/ctenophore-ontology	NO	NO	por definir	
 cto	Clinical Trials Ontology	 https://github.com/BFO-ontology/BFO	NO	NO	por definir	
 cubedb	Cube db	 http://epsf.bmad.bii.a-star.edu.sg/cube/db/html/home.html	NO	NO	por definir	
 cvdo	Cardiovascular Disease Ontology	 https://github.com/OpenLHS/CVDO	NO	NO	por definir	
 d1id	DataONE	 https://www.dataone.org	NO	NO	por definir	
 dailymed	DailyMed	 https://dailymed.nlm.nih.gov/dailymed/	NO	NO	por definir	
 dandi	Distributed Archives for Neurophysiology Data Integration	 https://dandiarchive.org/	NO	NO	por definir	
 darc	Database of Aligned Ribosomal Complexes	 http://darcsite.genzentrum.lmu.de/darc/index.php	NO	NO	por definir	
 dashr	Database of small human non-coding RNAs	 http://lisanwanglab.org/DASHR/	NO	NO	por definir	
 dashr.expression	DASHR expression	 https://dashr1.lisanwanglab.org/show-expression-table.php?start=0	NO	NO	por definir	
 datanator.gene	Datanator Gene	 https://datanator.info/	NO	NO	por definir	
 datanator.metabolite	Datanator Metabolite	 https://datanator.info/	NO	NO	por definir	
 datanator.reaction	Datanator Reaction	 https://icahn.mssm.edu/	NO	NO	por definir	
 datf	Database of Arabidopsis Transcription Factors	 http://datf.cbi.pku.edu.cn/	NO	NO	por definir	
 dbd	Transcription Factor Database	 http://www.transcriptionfactor.org/	NO	NO	por definir	
 dbest	Expressed Sequence Tags database	 https://www.ncbi.nlm.nih.gov/nucest	NO	NO	por definir	
 dbg2introns	DBG2 Introns	 http://webapps2.ucalgary.ca/~groupii/	NO	NO	por definir	
 dbgap	Database of Genotypes and Phenotypes	 https://www.ncbi.nlm.nih.gov/projects/gap	NO	NO	por definir	
 dbmhc	Database of human Major Histocompatibility Complex	 https://www.ncbi.nlm.nih.gov/gv/mhc/	SI	NO	por definir	
 dbprobe	dbProbe	 https://www.ncbi.nlm.nih.gov/sites/entrez?db=probe	NO	NO	por definir	
 dbsnp	Database of Single Nucleotide Polymorphism	 https://www.ncbi.nlm.nih.gov/snp/	NO	NO	por definir	
 dc	Dublin Core Metadata Element Set	 https://www.dublincore.org/specifications/dublin-core/dcmi-terms/	desconocido	NO	por definir	
 dc_cl	Dendritic cell	 http://www.dukeontologygroup.org/Projects.html	SI	NO	por definir	
 dcat	Data Catalog Vocabulary	 https://www.w3.org/ns/dcat	desconocido	NO	por definir	
 dcterms	Dublin Core Metadata Initiative (DCMI) Metadata Terms	 https://www.dublincore.org/specifications/dublin-core/dcmi-terms/	desconocido	NO	por definir	
 dctypes	Dublin Core Types	 https://dublincore.org/specifications/dublin-core/dcmi-terms/	desconocido	NO	por definir	
 ddanat	Dictyostelium Anatomy Ontology	 http://dictybase.org/	NO	NO	por definir	
 ddpheno	Dictyostelium Phenotype Ontology	 http://dictybase.org/	NO	NO	por definir	
 degradome	Degradome Database	 http://degradome.uniovi.es/	NO	NO	por definir	
 depmap	DepMap Cell Lines	 https://depmap.org/portal	desconocido	NO	por definir	
 depod	The human DEPhOsphorylation Database	 http://www.depod.bioss.uni-freiburg.de	NO	NO	por definir	
 dermo	Human Dermatological Disease Ontology	 https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-016-0085-x	desconocido	NO	por definir	
 dev.ga4ghdos	Development Data Object Service	 http://github.com/ga4gh/data-object-service-schemas	NO	NO	por definir	
 dg.4503	BioData Catalyst	 https://gen3.biodatacatalyst.nhlbi.nih.gov	NO	NO	por definir	
 dg.4dfc	NCI Data Commons Framework Services	 https://nci-crdc.datacommons.io/	NO	NO	por definir	
 dg.6vts	JCOIN	 https://jcoin.datacommons.io	NO	NO	por definir	
 dg.anv0	Anvil	 https://gen3.theanvil.io	NO	NO	por definir	
 dg.f82a1a	Kids First	 https://kidsfirstdrc.org	NO	NO	por definir	
 dg5b0d	BloodPAC	 https://data.bloodpac.org/.	NO	NO	por definir	
 dgrc	Drosophila Genomics Resource Center	 https://dgrc.bio.indiana.edu/cells/Catalog	desconocido	NO	por definir	
 dicom	Digital Imaging and COmmunications in Medicine	 http://dicom.nema.org/medical/dicom/current/output/chtml/part16/chapter_D.html	desconocido	NO	por definir	
 dictybase	dictyBase	 http://dictybase.org/gene/$1	desconocido	NO	por definir	
 dictybase.est	dictyBase Expressed Sequence Tag	 http://dictybase.org/	NO	NO	por definir	
 dictybase.gene	Dictybase Gene	 http://dictybase.org/	NO	NO	por definir	
 did	Decentralized Identifier	 https://w3c-ccg.github.io/did-spec/	NO	NO	por definir	
 dideo	The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology	 https://github.com/DIDEO/DIDEO	NO	NO	por definir	
 dinto	The Drug-Drug Interactions Ontology	 http://labda.inf.uc3m.es/doku.php?id=es:labda_dinto	SI	NO	por definir	
 dip	Database of Interacting Proteins	 https://dip.doe-mbi.ucla.edu/	NO	NO	por definir	
 discoverx	DiscoverX cell line products	 https://www.discoverx.com/products-applications/cell-lines	desconocido	NO	por definir	
 disdriv	Disease Drivers Ontology	 http://www.disease-ontology.org	NO	NO	por definir	
 diseaseclass	Disease Class	 URL no encontrado	SI	NO	por definir	
 diseasesdb	Diseases Database	 http://www.diseasesdatabase.com/	desconocido	SI	https://www.wikidata.org/wiki/Q213103	
 disprot	Database of Protein Disorder	 https://disprot.org/	NO	NO	por definir	
 disprot.region	DisProt region	 https://www.disprot.org	NO	NO	por definir	
 dlxb	Linear double stranded DNA sequences	 https://doulix.com	NO	NO	por definir	
 dlxc	Circular double stranded DNA sequences composed	 https://doulix.com	NO	NO	por definir	
 doi	Digital Object Identifier	 https://www.doi.org/	NO	NO	por definir	
 doid	Disease Ontology	 https://www.ebi.ac.uk/ols/ontologies/doid	NO	SI	https://www.wikidata.org/wiki/Q5282129	
 dommino	Database of Macromolecular Interactions	 http://dommino.org/	NO	NO	por definir	
 door	Database for Prokaryotic Operons	 http://csbl.bmb.uga.edu/DOOR/operon.php	NO	NO	por definir	
 doqcs.model	Database of Quantitative Cellular Signaling: Model	 http://doqcs.ncbs.res.in/	NO	NO	por definir	
 doqcs.pathway	Database of Quantitative Cellular Signaling: Pathway	 http://doqcs.ncbs.res.in/	NO	NO	por definir	
 dpo	Drosophila Phenotype Ontology	 http://purl.obolibrary.org/obo/fbcv	NO	NO	por definir	
 dpv	Description of Plant Viruses	 http://www.dpvweb.net/	NO	NO	por definir	
 dragondb.allele	DragonDB Allele	 http://www.antirrhinum.net/	NO	NO	por definir	
 dragondb.dna	DragonDB DNA	 http://www.antirrhinum.net/	NO	NO	por definir	
 dragondb.locus	DragonDB Locus	 http://www.antirrhinum.net/	NO	NO	por definir	
 dragondb.protein	DragonDB Protein	 http://www.antirrhinum.net/	NO	NO	por definir	
 dron	The Drug Ontology	 https://github.com/ufbmi/dron	NO	NO	por definir	
 drsc	Drosophila RNAi Screening Center	 http://flyrnai.org/	NO	NO	por definir	
 drugbank	DrugBank	 http://www.drugbank.ca/	NO	SI	https://www.wikidata.org/wiki/Q1122544	
 drugbank.salt	DrugBank Salts	 http://www.drugbank.ca	desconocido	NO	por definir	
 drugbankv4.target	DrugBank Target v4	 http://www.drugbank.ca/targets	NO	NO	por definir	
 drugcentral	DrugCentral	 http://drugcentral.org	desconocido	NO	por definir	
 dsmz	Deutsche Sammlung von Mikroorganismen und Zellkulturen	 https://www.dsmz.de	desconocido	NO	por definir	
 dto	Drug Target Ontology	 https://github.com/DrugTargetOntology/DTO	desconocido	NO	por definir	
 duo	The Data Use Ontology	 https://github.com/EBISPOT/DUO	NO	NO	por definir	
 eaglei	eagle-i	 https://hawaii.eagle-i.net	desconocido	NO	por definir	
 ebisc	European Bank for induced pluripotent Stem Cells	 https://www.ebisc.org	desconocido	NO	por definir	
 ecacc	European Collection of Authenticated Cell Culture	 https://www.phe-culturecollections.org.uk/collections/ecacc.aspx	desconocido	NO	por definir	
 ecao	The Echinoderm Anatomy and Development Ontology	 https://github.com/echinoderm-ontology/ecao_ontology	NO	NO	por definir	
 eccode	Integrated relational Enzyme database	 https://www.ebi.ac.uk/intenz/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 ecg	ElectroCardioGraphy Ontology	 https://bioportal.bioontology.org/ontologies/ECG	desconocido	NO	por definir	
 echobase	EchoBASE	 http://www.york.ac.uk/	NO	NO	por definir	
 ecmdb	E. coli Metabolite Database	 https://ecmdb.ca	desconocido	SI	https://www.wikidata.org/wiki/Q17052437	
 eco	Evidence and Conclusion Ontology	 https://www.ebi.ac.uk/ols/ontologies/eco	NO	NO	por definir	
 ecocore	An ontology of core ecological entities	 https://github.com/EcologicalSemantics/ecocore	NO	NO	por definir	
 ecocyc	EcoCyc E. coli Database	 http://ecocyc.org/	desconocido	NO	por definir	
 ecogene	Escherichia coli strain K12 genome database	 http://ecogene.org/	NO	NO	por definir	
 ecolexicon	EcoLexicon	 http://ecolexicon.ugr.es/en/index.htm	desconocido	NO	por definir	
 ecoliwiki	EcoliWiki:  A Wiki-based community resource for Escherichia coli	 http://ecoliwiki.net/colipedia/	NO	NO	por definir	
 ecto	Environmental conditions, treatments and exposures ontology	 https://github.com/EnvironmentOntology/environmental-exposure-ontology	NO	NO	por definir	
 ecyano.entity	E-cyanobacterium entity	 http://www.e-cyanobacterium.org/bcs/entity/	NO	NO	por definir	
 ecyano.experiment	E-cyanobacterium Experimental Data	 https://www.e-cyanobacterium.org/experiments-repository/	NO	NO	por definir	
 ecyano.model	E-cyanobacterium model	 http://e-cyanobacterium.org/models/	NO	NO	por definir	
 ecyano.rule	E-cyanobacterium rule	 http://www.e-cyanobacterium.org/bcs/rule/	NO	NO	por definir	
 edam	EMBRACE Data and Methods Ontology	 http://bioportal.bioontology.org/ontologies/EDAM	NO	NO	por definir	
 edda	EDDA Study Designs Taxonomy	 https://bioportal.bioontology.org/ontologies/EDDA	desconocido	NO	por definir	
 efo	Experimental Factor Ontology	 https://www.ebi.ac.uk/ols/ontologies/efo	NO	NO	por definir	
 ega.dataset	The European Genome-phenome Archive	 https://www.ebi.ac.uk/ega/dataset	NO	NO	por definir	
 ega.study	European Genome-phenome Archive Study	 https://www.ebi.ac.uk/ega/studies	NO	NO	por definir	
 eggnog	Evolutionary Genealogy of Genes: Non-supervised Orthologous Groups	 http://eggnog.embl.de/version_3.0/	NO	NO	por definir	
 ehda	Human Developmental Anatomy Ontology, timed version	 http://genex.hgu.mrc.ac.uk/	SI	NO	por definir	
 ehdaa	Human Developmental Anatomy Ontology, abstract version 1	 http://purl.obolibrary.org/obo/EHDAA_$1	SI	NO	por definir	
 ehdaa2	Edinburgh human developmental anatomy abstract version 2	 https://github.com/obophenotype/human-developmental-anatomy-ontology	NO	NO	por definir	
 elm	Eukaryotic Linear Motifs	 http://elm.eu.org/	NO	NO	por definir	
 emap	Mouse Gross Anatomy and Development Ontology	 http://emouseatlas.org	SI	NO	por definir	
 emapa	Mouse gross anatomy and development, timed	 http://www.informatics.jax.org/expression.shtml	NO	NO	por definir	
 emdb	Electron Microscopy Data Bank	 https://www.ebi.ac.uk/pdbe/emdb/	NO	NO	por definir	
 emolecules	Reaxys eMolecules	 https://reaxys.emolecules.com	desconocido	NO	por definir	
 empiar	Electron Microscopy Public Image Archive	 https://www.ebi.ac.uk/pdbe/emdb	desconocido	NO	por definir	
 ena.embl	European Nucleotide Archive	 https://www.ebi.ac.uk/ena/	NO	NO	por definir	
 encode	ENCODE Project	 www.encodeproject.org	NO	NO	por definir	
 enm	eNanoMapper Ontology	 http://www.enanomapper.net/	desconocido	NO	por definir	
 ensembl	Ensembl	 https://www.ensembl.org/	NO	SI	https://www.wikidata.org/wiki/Q1344256	
 ensembl.bacteria	Ensembl Bacteria	 https://bacteria.ensembl.org/	NO	NO	por definir	
 ensembl.fungi	Ensembl Fungi	 https://fungi.ensembl.org/	NO	NO	por definir	
 ensembl.metazoa	Ensembl Metazoa	 https://metazoa.ensembl.org/	NO	NO	por definir	
 ensembl.plant	Ensembl Plants	 https://plants.ensembl.org/	NO	NO	por definir	
 ensembl.protist	Ensembl Protists	 https://protists.ensembl.org	NO	NO	por definir	
 ensemblglossary	Ensembl Glossary	 http://ensembl.org/glossary	desconocido	NO	por definir	
 envipath	enviPath	 https://envipath.org/	NO	NO	por definir	
 envo	Environment Ontology	 https://www.ebi.ac.uk/ols/ontologies/envo	NO	NO	por definir	
 enzo	Enzo Life Sciences	 https://www.enzolifesciences.com	desconocido	NO	por definir	
 eo	Plant Environment Ontology	 http://archive.gramene.org/db/ontology/search_term?id=EO:0007359	NO	NO	por definir	
 eol	Encyclopedia of Life	 http://www.atol-ontology.com	desconocido	NO	por definir	
 epcc	European Paediatric Cardiac Codes	 https://www.aepc.org/european-paediatric-cardiac-coding	desconocido	NO	por definir	
 epd	The Encyclopedia of Proteome Dynamics	 http://epd.vital-it.ch/	NO	NO	por definir	
 epio	EpilepsyOntology	 https://github.com/SCAI-BIO/EpilepsyOntology	NO	NO	por definir	
 epo	Early Pregnancy Ontology	 https://code.google.com/p/epidemiology-ontology/	SI	NO	por definir	
 epso	Epilepsy and Seizure Ontology	 http://prism.case.edu/prism/index.php/EpilepsyOntology	desconocido	NO	por definir	
 erm	European Registry of Materials	 https://nanocommons.github.io/identifiers/	NO	NO	por definir	
 ero	eagle-i Research Resource Ontology	 https://open.med.harvard.edu/wiki/display/eaglei/Ontology	NO	NO	por definir	
 erv	Human Endogenous Retrovirus Database	 https://herv.img.cas.cz/	NO	NO	por definir	
 estdab	European Searchable Tumour Line Database	 https://www.ebi.ac.uk/ipd/estdab/	SI	NO	por definir	
 eu89h	JRC Data Catalogue	 http://data.jrc.ec.europa.eu/	NO	NO	por definir	
 euclinicaltrials	EU Clinical Trials	 https://www.clinicaltrialsregister.eu/	NO	NO	por definir	
 eupath	Eukaryotic Pathogen, Host & Vector Genomics Resource Ontology	 https://github.com/VEuPathDB-ontology/VEuPathDB-ontology	NO	NO	por definir	
 eurofir	European Food Information Resource Network	 https://www.eurofir.org	desconocido	NO	por definir	
 ev	eVOC (Expressed Sequence Annotation for Humans)	 http://www.evocontology.org/	SI	NO	por definir	
 evm	eVOC mouse development stage	 URL no encontrado	SI	NO	por definir	
 exac.gene	ExAC Gene	 http://exac.broadinstitute.org/	NO	NO	por definir	
 exac.transcript	ExAC Transcript	 http://exac.broadinstitute.org/	NO	NO	por definir	
 exac.variant	ExAC Variant	 http://exac.broadinstitute.org/	NO	NO	por definir	
 exo	Exposure Ontology	 http://ctdbase.org/help/exposureHelp.jsp	NO	NO	por definir	
 fabio	FaBiO, the FRBR-aligned Bibliographic Ontology	 https://github.com/sparontologies/fabio	desconocido	NO	por definir	
 facebase	FaceBase	 https://www.facebase.org	NO	NO	por definir	
 fairsharing	FAIRsharing	 https://fairsharing.org/	NO	NO	por definir	
 faldo	Feature Annotation Location Description Ontology	 http://biohackathon.org/resource/faldo	desconocido	NO	por definir	
 fao	Fungal Gross Anatomy Ontology	 https://github.com/obophenotype/fungal-anatomy-ontology/	NO	NO	por definir	
 fbbi	Biological Imaging methods Ontology	 http://cellimagelibrary.org/	NO	NO	por definir	
 fbbt	Drosophila anatomy ontology	 http://purl.obolibrary.org/obo/fbbt	NO	NO	por definir	
 fbcv	FlyBase Controlled Vocabulary	 http://purl.obolibrary.org/obo/fbcv	NO	NO	por definir	
 fbdv	Drosophila developmental ontology	 http://purl.obolibrary.org/obo/fbdv	NO	NO	por definir	
 fbol	Fungal Barcode	 http://www.fungalbarcoding.org/	NO	NO	por definir	
 fbql	FlyBase Qualifiers	 URL no encontrado	SI	NO	por definir	
 fbrf	FlyBase Reference Report	 https://flybase.org	desconocido	NO	por definir	
 fbsp	Fly Taxonomy	 http://www.flybase.org/	SI	NO	por definir	
 fbtc	Flybase Cell Line	 https://flybase.org	desconocido	NO	por definir	
 fcb	the FAIR Cookbook	 https://w3id.org	NO	NO	por definir	
 fcsfree	Fetal Calf Serum-Free Database	 https://fcs-free.org	desconocido	NO	por definir	
 fideo	Food Interactions with Drugs Evidence Ontology	 https://gitub.u-bordeaux.fr/erias/fideo	NO	NO	por definir	
 fishbase.species	FishBase	 http://fishbase.org	desconocido	SI	https://www.wikidata.org/wiki/Q837101	
 fix	Physico-chemical methods and properties	 https://www.ebi.ac.uk/chebi/	NO	NO	por definir	
 flopo	Flora Phenotype Ontology	 https://github.com/flora-phenotype-ontology/flopoontology	NO	NO	por definir	
 flowrepository	FlowRepository	 https://flowrepository.org/	NO	NO	por definir	
 flu	Influenza Ontology	 http://purl.obolibrary.org/obo/flu/	SI	NO	por definir	
 flybase	FlyBase	 http://flybase.org/	NO	SI	https://www.wikidata.org/wiki/Q3074571	
 flybrain.ndb	FlyBrain Neuron Database	 https://flybrain-ndb.virtualflybrain.org	desconocido	NO	por definir	
 fma	Foundational Model of Anatomy	 https://www.ebi.ac.uk/ols/ontologies/fma/	NO	NO	por definir	
 foaf	Friend of a Friend	 http://xmlns.com/foaf/spec/	desconocido	NO	por definir	
 fobi	Food-Biomarker Ontology	 https://github.com/pcastellanoescuder/FoodBiomarkerOntology	NO	NO	por definir	
 foodb.compound	FooDB Compound	 http://foodb.ca/foods	NO	NO	por definir	
 foodon	FoodOn	 https://foodon.org	NO	NO	por definir	
 fovt	FuTRES Ontology of Vertebrate Traits	 https://github.com/futres/fovt	NO	NO	por definir	
 fplx	FamPlex	 https://sorgerlab.github.io/famplex	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 fsnp	F-SNP	 http://compbio.cs.queensu.ca/F-SNP/	NO	NO	por definir	
 ftt	Feature Type Thesaurus	 https://apps.usgs.gov/thesaurus/thesaurus-full.php?thcode=3	desconocido	NO	por definir	
 funcbase.fly	FuncBase Fly	 http://func.mshri.on.ca/fly	NO	NO	por definir	
 funcbase.human	FuncBase Human	 http://func.mshri.on.ca/human/	NO	NO	por definir	
 funcbase.mouse	FuncBase Mouse	 http://func.mshri.on.ca/mouse/	NO	NO	por definir	
 funcbase.yeast	FuncBase Yeast	 http://func.mshri.on.ca/yeast	NO	NO	por definir	
 funderregistry	FunderRegistry	 https://www.crossref.org/	NO	NO	por definir	
 fungidb	Fungal and Oomycete genomics resource	 https://fungidb.org/fungidb	NO	NO	por definir	
 fyeco	Fission Yeast Experimental Conditions Ontology	 https://github.com/pombase/fypo	desconocido	NO	por definir	
 fyler	Fyler	 https://www.elsevier.com/books/nadas-pediatric-cardiology/9781416023906	desconocido	NO	por definir	
 fypo	Fission Yeast Phenotype Ontology	 https://github.com/pombase/fypo	NO	NO	por definir	
 ga4ghdos	Data Object Service	 http://github.com/ga4gh/data-object-service-schemas	NO	NO	por definir	
 gabi	GABI	 http://www.gabipd.org/	NO	NO	por definir	
 galen	GALEN	 https://www.opengalen.org	SI	NO	por definir	
 gard	Genetic and Rare Diseases Information Center	 https://rarediseases.info.nih.gov/diseases	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 gateway	Health Data Research Innovation Gateway	 https://www.hdruk.ac.uk	NO	NO	por definir	
 gaz	Gazetteer	 http://environmentontology.github.io/gaz/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 gbif	Global Biodiversity Information Facility	 https://www.gbif.org/species	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 gc	Genetic Code	 https://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html	desconocido	NO	por definir	
 gcst	GWAS Catalog	 https://www.ebi.ac.uk	NO	NO	por definir	
 gdc	Genomic Data Commons Data Portal	 https://gdc.cancer.gov	NO	NO	por definir	
 gdsc	Genomics of Drug Sensitivity in Cancer	 https://www.cancerrxgene.org	NO	NO	por definir	
 gecko	Genomics Cohorts Knowledge Ontology	 https://github.com/IHCC-cohorts/GECKO	NO	NO	por definir	
 gemet	General Multilingual Environmental Thesaurus	 https://www.eionet.europa.eu/gemet/en/themes/	desconocido	NO	por definir	
 genatlas	GenAtlas	 http://genatlas.medecine.univ-paris5.fr/	NO	NO	por definir	
 genbank	GenBank	 https://www.ncbi.nlm.nih.gov/genbank/	desconocido	NO	por definir	
 genecards	Human Gene Database	 http://www.genecards.org/	NO	NO	por definir	
 genedb	GeneDB	 https://www.genedb.org/	NO	SI	https://www.wikidata.org/wiki/Q5531047	
 genefarm	Structural and functional annotation of Arabidopsis thaliana gene and protein families	 http://urgi.versailles.inra.fr/Genefarm/	NO	NO	por definir	
 genepio	Genomic Epidemiology Ontology	 http://genepio.org/	NO	NO	por definir	
 genetree	GeneTree	 http://www.ensembl.org/	NO	NO	por definir	
 genewiki	Gene Wiki	 http://en.wikipedia.org/wiki/Gene_Wiki	NO	NO	por definir	
 geno	Genotype Ontology	 https://github.com/monarch-initiative/GENO-ontology/	NO	NO	por definir	
 genpept	GenPept	 https://www.ncbi.nlm.nih.gov/protein	NO	NO	por definir	
 genprop	Genome Properties	 https://www.ebi.ac.uk/interpro/genomeproperties/	NO	NO	por definir	
 geo	Geographical Entity Ontology	 https://www.ncbi.nlm.nih.gov/geo/	NO	NO	por definir	
 geogeo	Geographical Entity Ontology	 https://github.com/ufbmi	NO	NO	por definir	
 geonames	GeoNames	 https://www.geonames.org	desconocido	NO	por definir	
 gexo	Gene Expression Ontology	 http://www.semantic-systems-biology.org/apo	desconocido	NO	por definir	
 ghr	Genetics Home Reference	 https://medlineplus.gov/genetics/condition	desconocido	NO	por definir	
 giardiadb	GiardiaDB	 https://giardiadb.org/giardiadb/	NO	NO	por definir	
 github	GitHub	 https://github.com/	NO	NO	por definir	
 gitlab	GitLab	 https://gitlab.com/	NO	NO	por definir	
 glida.gpcr	GLIDA GPCR	 http://pharminfo.pharm.kyoto-u.ac.jp/services/glida/	NO	NO	por definir	
 glida.ligand	GLIDA Ligand	 http://pharminfo.pharm.kyoto-u.ac.jp/services/glida/	NO	NO	por definir	
 glycoepitope	GlycoEpitope	 https://www.glycoepitope.jp/epitopes/	NO	NO	por definir	
 glycomedb	GlycomeDB	 https://glytoucan.org/	NO	NO	por definir	
 glyconavi	GlycoNAVI	 https://www.noguchi.or.jp/	NO	NO	por definir	
 glycopost	GlycoPOST	 https://glycopost.glycosmos.org	NO	NO	por definir	
 glygen	GlyGen: Computational and Informatics Resources for Glycoscience	 https://glygen.org/glycan/	desconocido	NO	por definir	
 glytoucan	GlyTouCan	 https://glytoucan.org	NO	NO	por definir	
 gmd	Golm Metabolome Database	 http://gmd.mpimp-golm.mpg.de/	NO	NO	por definir	
 gmd.analyte	Golm Metabolome Database Analyte	 http://gmd.mpimp-golm.mpg.de/	NO	NO	por definir	
 gmd.gcms	Golm Metabolome Database GC-MS spectra	 http://gmd.mpimp-golm.mpg.de/	NO	NO	por definir	
 gmd.profile	Golm Metabolome Database Profile	 http://gmd.mpimp-golm.mpg.de/	NO	NO	por definir	
 gmd.ref	Golm Metabolome Database Reference Substance	 http://gmd.mpimp-golm.mpg.de/	NO	NO	por definir	
 gmelin	Gmelins Handbuch der anorganischen Chemie	 https://link.springer.com/bookseries/562	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 gno	Glycan Naming and Subsumption Ontology	 https://gnome.glyomics.org/	NO	NO	por definir	
 gnpis	Genetic and Genomic Information System	 https://urgi.versailles.inra.fr/gnpis/	NO	NO	por definir	
 go	Gene Ontology	 http://amigo.geneontology.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 go.model	Gene Ontology Causal Assembly Model	 http://www.geneontology.org/gocam	desconocido	NO	por definir	
 go.ref	Gene Ontology Reference	 http://www.geneontology.org/cgi-bin/references.cgi	NO	NO	por definir	
 go.resource	Gene Ontology Registry	 http://geneontology.org/	desconocido	NO	por definir	
 goa	Gene Ontology Annotation Database	 https://www.ebi.ac.uk/GOA/	NO	NO	por definir	
 goche	GO Chemicals	 https://github.com/geneontology/go-ontology/	desconocido	NO	por definir	
 goeco	GO Evidence Code	 http://geneontology.org/docs/guide-go-evidence-codes/	desconocido	NO	por definir	
 gold	Genomes OnLine Database	 https://gold.jgi.doe.gov/	NO	NO	por definir	
 gold.genome	GOLD genome	 http://www.genomesonline.org/cgi-bin/GOLD/index.cgi	NO	NO	por definir	
 gold.meta	GOLD metadata	 http://www.genomesonline.org/cgi-bin/GOLD/index.cgi	NO	NO	por definir	
 google.patent	Google Patents	 https://www.google.com/patents/	NO	NO	por definir	
 google.scholar	Google Scholar Researcher ID	 https://scholar.google.com/	desconocido	NO	por definir	
 gorel	GO Relations	 http://geneontology.org/docs/ontology-relations/	desconocido	NO	por definir	
 gpcrdb	Information system for G protein-coupled receptors	 http://www.gpcrdb.org/	NO	NO	por definir	
 gpmdb	The Global Proteome Machine Database	 http://gpmdb.thegpm.org/	NO	NO	por definir	
 gramene.gene	Gramene Gene	 http://www.gramene.org/	NO	NO	por definir	
 gramene.growthstage	Gramene Growth Stage Ontology	 http://www.gramene.org/	NO	NO	por definir	
 gramene.protein	Gramene protein	 http://www.gramene.org/	NO	NO	por definir	
 gramene.qtl	Gramene QTL	 http://www.gramene.org/	NO	NO	por definir	
 gramene.taxonomy	Gramene Taxonomy	 http://www.gramene.org/	NO	NO	por definir	
 grassbase	GrassBase	 https://www.kew.org/data/grasses-syn/index.htm	desconocido	NO	por definir	
 greengenes	Greengenes	 http://greengenes.lbl.gov/	NO	NO	por definir	
 grid	Global Research Identifier Database	 https://www.grid.ac/	NO	NO	por definir	
 grin.taxonomy	GRIN Plant Taxonomy	 http://www.ars-grin.gov/cgi-bin/npgs/html/index.pl?language=en	NO	NO	por definir	
 gro	Gene Regulation Ontology	 URL no encontrado	SI	NO	por definir	
 grsdb	G-Rich Sequences Database	 http://bioinformatics.ramapo.edu/GRSDB2/	NO	NO	por definir	
 gsfa	General Standard for Food Additives Online Database	 http://www.fao.org/gsfaonline	desconocido	NO	por definir	
 gsso	Gender, Sex, and Sexual Orientation Ontology	 https://bioportal.bioontology.org/	NO	NO	por definir	
 gtex	Genotype-Tissue Expression	 https://www.gtexportal.org	NO	NO	por definir	
 gtr	Genetic Testing Registry	 https://www.ncbi.nlm.nih.gov/gtr/	desconocido	NO	por definir	
 gudmap	GenitoUrinary Development Molecular Anatomy Project	 http://www.gudmap.org/	NO	NO	por definir	
 gwascentral.marker	GWAS Central Marker	 https://www.gwascentral.org/markers/	NO	NO	por definir	
 gwascentral.phenotype	GWAS Central Phenotype	 https://www.gwascentral.org/phenotypes	NO	NO	por definir	
 gwascentral.study	GWAS Central Study	 https://www.gwascentral.org/studies	NO	NO	por definir	
 gxa.expt	GXA Expt	 https://www.ebi.ac.uk/gxa/	NO	NO	por definir	
 gxa.gene	GXA Gene	 https://www.ebi.ac.uk/gxa/	NO	NO	por definir	
 habronattus	Habronattus courtship	 http://www.mesquiteproject.org/ontology/Habronattus/index.html	SI	NO	por definir	
 hamap	HAMAP database of microbial protein families	 https://hamap.expasy.org/	NO	NO	por definir	
