abreviatura	nombre	Esta en wikidata	urlWikidata
go.ref	Gene Ontology Reference	NO	Por definir 
go.resource	Gene Ontology Registry	NO	Por definir 
goa	Gene Ontology Annotation Database	NO	Por definir 
goche	GO Chemicals	NO	Por definir 
goeco	GO Evidence Code	NO	Por definir 
gold	Genomes OnLine Database	NO	Por definir 
gold.genome	GOLD genome	NO	Por definir 
gold.meta	GOLD metadata	NO	Por definir 
google.patent	Google Patents	NO	Por definir 
google.scholar	Google Scholar Researcher ID	NO	Por definir 
gorel	GO Relations	NO	Por definir 
gpcrdb	Information system for G protein-coupled receptors	NO	Por definir 
gpmdb	The Global Proteome Machine Database	NO	Por definir 
gramene.gene	Gramene Gene	NO	Por definir 
gramene.growthstage	Gramene Growth Stage Ontology	NO	Por definir 
gramene.protein	Gramene protein	NO	Por definir 
gramene.qtl	Gramene QTL	NO	Por definir 
gramene.taxonomy	Gramene Taxonomy	NO	Por definir 
grassbase	GrassBase	NO	Por definir 
greengenes	Greengenes	NO	Por definir 
grid	Global Research Identifier Database	NO	Por definir 
grin.taxonomy	GRIN Plant Taxonomy	NO	Por definir 
gro	Gene Regulation Ontology	NO	Por definir 
grsdb	G-Rich Sequences Database	NO	Por definir 
gsfa	General Standard for Food Additives Online Database	NO	Por definir 
gsso	Gender, Sex, and Sexual Orientation Ontology	NO	Por definir 
gtex	Genotype-Tissue Expression	NO	Por definir 
gtr	Genetic Testing Registry	NO	Por definir 
gudmap	GenitoUrinary Development Molecular Anatomy Project	NO	Por definir 
gwascentral.marker	GWAS Central Marker	NO	Por definir 
gwascentral.phenotype	GWAS Central Phenotype	NO	Por definir 
gwascentral.study	GWAS Central Study	NO	Por definir 
gxa.expt	GXA Expt	NO	Por definir 
gxa.gene	GXA Gene	NO	Por definir 
habronattus	Habronattus courtship	NO	Por definir 
hamap	HAMAP database of microbial protein families	NO	Por definir 
hancestro	Human Ancestry Ontology	NO	Por definir 
hao	Hymenoptera Anatomy Ontology	NO	Por definir 
hcao	Human Cell Atlas Ontology	NO	Por definir 
hcpcs	Healthcare Common Procedure Coding System	NO	Por definir 
hcvdb	Hepatitis C Virus Database	NO	Por definir 
hdr	Homeodomain Research	NO	Por definir 
hgmd	Human Gene Mutation Database	NO	Por definir 
hgnc	HUGO Gene Nomenclature Committee	SI	https://www.wikidata.org/wiki/por definir 
hgnc.genefamily	HGNC Family	NO	Por definir 
hgnc.genegroup	HGNC Gene Group	NO	Por definir 
hgnc.symbol	HGNC Symbol	NO	Por definir 
hinv.locus	H-InvDb Locus	NO	Por definir 
hinv.protein	H-InvDb Protein	NO	Por definir 
hinv.transcript	H-InvDb Transcript	NO	Por definir 
hipsci	Human Induced Pluripotent Stem Cells Initiative	NO	Por definir 
hivreagentprogram	NIH HIV Reagent Program	NO	Por definir 
hmdb	The Human Metabolome Database	SI	https://www.wikidata.org/wiki/Q5937262 
hms.lincs.compound	HMS LINCS Compound	NO	Por definir 
hog	Homologous Organ Groups	NO	Por definir 
hogenom	HOGENOM	NO	Por definir 
hom	HOMology	NO	Por definir 
homd.seq	HOMD Sequence Metainformation	NO	Por definir 
homd.taxon	HOMD Taxonomy	NO	Por definir 
homologene	NCBI HomoloGene Database	SI	https://www.wikidata.org/wiki/Q468215 
horizon_discovery	Horizon Discovery cell line collection	NO	Por definir 
hovergen	Homologous Vertebrate Genes Database	NO	Por definir 
hp	Human Phenotype Ontology	SI	https://www.wikidata.org/wiki/Q17027854 
hpa	Human Protein Atlas	NO	Por definir 
hpath	Histopathology Ontology	NO	Por definir 
hpm.peptide	Human Proteome Map Peptide	NO	Por definir 
hpm.protein	Human Proteome Map Protein	NO	Por definir 
hprd	Human Protein Reference Database	NO	Por definir 
hpscreg	Human Pluripotent Stem Cell Registry	NO	Por definir 
hsapdv	Human Developmental Stages Ontology	NO	Por definir 
hsdb	Hazardous Substances Data Bank	SI	https://www.wikidata.org/wiki/por definir 
hso	Health Surveillance Ontology	NO	Por definir 
hssp	HSSP	NO	Por definir 
htn	Hypertension Ontology	NO	Por definir 
huge	Human Unidentified Gene-Encoded large proteins database	NO	Por definir 
iao	Information Artifact Ontology	NO	Por definir 
icd10	International Classification of Diseases Version 10	SI	https://www.wikidata.org/wiki/por definir 
icd10cm	International Classification of Diseases, Tenth Revision, Clinical Modification	SI	https://www.wikidata.org/wiki/por definir 
icd10pcs	International Classification of Diseases Version 10 - Procedure Coding System	SI	https://www.wikidata.org/wiki/por definir 
icd11	International Classification of Diseases Version 11	SI	https://www.wikidata.org/wiki/por definir 
icd9	International Classification of Diseases 9th Revision	SI	https://www.wikidata.org/wiki/por definir 
icd9cm	International Classification of Diseases, Ninth Revision, Clinical Modification	SI	https://www.wikidata.org/wiki/por definir 
icdc	Integrated Climate Data Center	NO	Por definir 
icdo	The International Classification of Diseases for Oncology	SI	https://www.wikidata.org/wiki/por definir 
iceberg.element	ICEberg element	NO	Por definir 
iceberg.family	ICEberg family	NO	Por definir 
iceo	Integrative and Conjugative Element Ontology	NO	Por definir 
iclc	Interlab Cell Line Collection	NO	Por definir 
ico	Informed Consent Ontology	NO	Por definir 
ideal	Intrinsically Disordered proteins with Extensive Annotations and Literature	NO	Por definir 
ido	Infectious Disease Ontology Core	NO	Por definir 
idocovid19	The COVID-19 Infectious Disease Ontology	NO	Por definir 
idoden	Dengue Fever Ontology	NO	Por definir 
idomal	Infection Disease Ontology Malaria	NO	Por definir 
idoo	Identifiers.org Ontology	NO	Por definir 
idot	Identifiers.org Terms	NO	Por definir 
idr	Image Data Resource	NO	Por definir 
iedb	Immune Epitope Database	NO	Por definir 
iev	Event (INOH pathway ontology)	NO	Por definir 
igrhcellid	Integrated Genomic Resources of human Cell Lines for Identification	NO	Por definir 
igsn	International GeoSample Number	NO	Por definir 
igsr	The International Genome Sample Resource	NO	Por definir 
ihw	International Histocompatibility Workshop cell lines	NO	Por definir 
imanis	Imanis Life Sciences cell line products	NO	Por definir 
imdrf	International Medical Device Regulators Forum	NO	Por definir 
imex	International Molecular Exchange	NO	Por definir 
img.gene	Integrated Microbial Genomes Gene	NO	Por definir 
img.taxon	Integrated Microbial Genomes Taxon	NO	Por definir 
imgt.hla	IPD-IMGT/HLA - Human Leukocyte Antigen Sequence Database	NO	Por definir 
imgt.ligm	IMGT LIGM	NO	Por definir 
imr	Molecule role (INOH Protein name/family name ontology)	NO	Por definir 
inchi	IUPAC International Chemical Identifier	SI	https://www.wikidata.org/wiki/por definir 
inchikey	InChIKey	SI	https://www.wikidata.org/wiki/por definir 
inhand	International Harmonization of Nomenclature and Diagnostic criteria	NO	Por definir 
inn	International Nonproprietary Names	SI	https://www.wikidata.org/wiki/por definir 
ino	Interaction Network Ontology	NO	Por definir 
insdc	Nucleotide Sequence Database	NO	Por definir 
insdc.cds	INSDC CDS	NO	Por definir 
insdc.gca	Genome assembly database	NO	Por definir 
insdc.run	International Nucleotide Sequence Database Collaboration (INSDC) Run	NO	Por definir 
insdc.sra	Sequence Read Archive	NO	Por definir 
intact	IntAct molecular interaction database	NO	Por definir 
intact.molecule	IntAct Molecule	NO	Por definir 
interlex	InterLex	NO	Por definir 
interpro	Integrated resource of protein families, domains and functional sites	SI	https://www.wikidata.org/wiki/por definir 
ird.segment	IRD Segment Sequence	NO	Por definir 
irefweb	Interaction Reference Index Web Interface	NO	Por definir 
iro	Insect Resistance Ontology	NO	Por definir 
isbn	ISBN	NO	Por definir 
isfinder	Insertion Sequence Finder	NO	Por definir 
isni	International Standard Name Identifier	NO	Por definir 
issn	ISSN	NO	Por definir 
itis	Integrated Taxonomic Information System	SI	https://www.wikidata.org/wiki/por definir 
ito	Intelligence Task Ontology	NO	Por definir 
iuphar.family	IUPHAR family	NO	Por definir 
iuphar.ligand	IUPHAR ligand	SI	https://www.wikidata.org/wiki/Q17091219 
iuphar.receptor	IUPHAR receptor	SI	https://www.wikidata.org/wiki/Q17091219 
jax	JAX Mice Database	NO	Por definir 
jaxmice	JAX Mice	NO	Por definir 
jcggdb	Japan Consortium for Glycobiology and Glycotechnology Database	NO	Por definir 
jcm	Japan Collection of Microorganisms	NO	Por definir 
jcrb	JRBC Cell Bank	NO	Por definir 
jcsd	Japan Chemical Substance Dictionary	NO	Por definir 
jstor	JSTOR	NO	Por definir 
jws	JWS Online	NO	Por definir 
kaggle	Kaggle	NO	Por definir 
kclb	Korean Cell Line Bank	NO	Por definir 
kegg	Kyoto Encyclopedia of Genes and Genomes	NO	Por definir 
kegg.compound	KEGG Compound	SI	https://www.wikidata.org/wiki/por definir 
kegg.disease	KEGG Disease	NO	Por definir 
kegg.drug	KEGG Drug	SI	https://www.wikidata.org/wiki/por definir 
kegg.environ	KEGG Environ	NO	Por definir 
kegg.enzyme	KEGG Enzyme	NO	Por definir 
kegg.genes	KEGG Genes	SI	https://www.wikidata.org/wiki/por definir 
kegg.genome	KEGG Genome	SI	https://www.wikidata.org/wiki/por definir 
kegg.glycan	KEGG Glycan	NO	Por definir 
kegg.ligand	KEGG LIGAND	NO	Por definir 
kegg.metagenome	KEGG Metagenome	NO	Por definir 
kegg.module	KEGG Module	NO	Por definir 
kegg.orthology	KEGG Orthology	NO	Por definir 
kegg.pathway	KEGG Pathway	SI	https://www.wikidata.org/wiki/por definir 
kegg.reaction	KEGG Reaction	SI	https://www.wikidata.org/wiki/Q909442 
kerafast	Kerafast cell lines	NO	Por definir 
knapsack	KNApSAcK	SI	https://www.wikidata.org/wiki/Q20900436 
kupo	Kidney and Urinary Pathway Ontology	NO	Por definir 
kyinno	KYinno cell lines	NO	Por definir 
labo	clinical LABoratory Ontology	NO	Por definir 
lbo	Livestock Breed Ontology	NO	Por definir 
lei	Global LEI Index	NO	Por definir 
lepao	Lepidoptera Anatomy Ontology	NO	Por definir 
lgai.cede	LG Chemical Entity Detection Dataset (LGCEDe)	NO	Por definir 
lgic	Ligand-Gated Ion Channel database	NO	Por definir 
licebase	LiceBase	NO	Por definir 
ligandbook	LigandBook	NO	Por definir 
ligandbox	LigandBox	NO	Por definir 
ligandexpo	Ligand Expo	NO	Por definir 
ligea	Cancer cell LInes GEne fusions portAl	NO	Por definir 
limore	Liver Cancer Model Repository	NO	Por definir 
lincs.cell	LINCS Cell	NO	Por definir 
lincs.data	LINCS Data	NO	Por definir 
lincs.protein	LINCS Protein	NO	Por definir 
lincs.smallmolecule	LINCS Small Molecule	NO	Por definir 
linguist	Linguist	NO	Por definir 
lipidbank	LipidBank	NO	Por definir 
lipidmaps	LIPID MAPS	SI	https://www.wikidata.org/wiki/por definir 
lipro	Lipid Ontology	NO	Por definir 
lncipedia	LNCipedia	NO	Por definir 
loggerhead	Loggerhead nesting	NO	Por definir 
loinc	Logical Observation Identifier Names and Codes	NO	Por definir 
lonza	Lonza	NO	Por definir 
lotus	LOTUS Initiative for Open Natural Products Research	SI	https://www.wikidata.org/wiki/Q104225190 
lrg	Locus Reference Genomic	NO	Por definir 
lspci	Laboratory of Systems Pharmacology Compound ID	NO	Por definir 
lter	Long Term Ecological Research Controlled Vocabulary	NO	Por definir 
ma	Mouse Adult Gross Anatomy Ontology	NO	Por definir 
macie	Mechanism, Annotation and Classification in Enzymes	NO	Por definir 
maizegdb.locus	Maize Genetics and Genomics Database	NO	Por definir 
mamo	Mathematical Modelling Ontology	NO	Por definir 
mao	Multiple alignment	NO	Por definir 
massbank	MassBank Europe	SI	https://www.wikidata.org/wiki/Q24088019 
massive	Mass Spectrometry Interactive Virtual Environment	NO	Por definir 
mat	Minimal Anatomical Terminology	NO	Por definir 
matrixdb	Extracellular Matrix Interaction Database	NO	Por definir 
matrixdb.association	MatrixDB Association	NO	Por definir 
maxo	Medical Action Ontology	NO	Por definir 
mcc	Cell Line Ontology [derivative]	NO	Por definir 
mco	Microbial Conditions Ontology	NO	Por definir 
mdm	Medical Data Models	NO	Por definir 
meddra	Medical Dictionary for Regulatory Activities Terminology	SI	https://www.wikidata.org/wiki/por definir 
medgen	MedGen	NO	Por definir 
medlineplus	MedlinePlus Health Topics	NO	Por definir 
merops	MEROPS	NO	Por definir 
merops.family	MEROPS Family	NO	Por definir 
merops.inhibitor	MEROPS Inhibitor	NO	Por definir 
mesh	Medical Subject Headings	SI	https://www.wikidata.org/wiki/Q199897 
mesh.2012	MeSH 2012	NO	Por definir 
mesh.2013	MeSH 2013	NO	Por definir 
metabolights	MetaboLights	SI	https://www.wikidata.org/wiki/Q24174701 
metacyc.compound	MetaCyc	NO	Por definir 
metacyc.reaction	MetaCyc Reaction	NO	Por definir 
metanetx.chemical	MetaNetX chemical	NO	Por definir 
metanetx.compartment	MetaNetX compartment	NO	Por definir 
metanetx.reaction	MetaNetX reaction	NO	Por definir 
metlin	Metabolite and Tandem Mass Spectrometry Database	NO	Por definir 
mex	Metabolome Express	NO	Por definir 
mf	Mental Functioning Ontology	NO	Por definir 
mfmo	Mammalian Feeding Muscle Ontology	NO	Por definir 
mfo	Medaka Fish Anatomy and Development Ontology	NO	Por definir 
mfoem	Emotion Ontology	NO	Por definir 
mfomd	MFO Mental Disease Ontology	NO	Por definir 
mge	Aclame	NO	Por definir 
mgi	Mouse Genome Database - a Mouse Genome Informatics (MGI) Resource	SI	https://www.wikidata.org/wiki/Q1951035 
mgnify.analysis	MGnify Analysis	NO	Por definir 
mgnify.proj	MGnify Project	NO	Por definir 
mgnify.samp	MGnify Sample	NO	Por definir 
mi	Molecular Interactions Ontology	NO	Por definir 
miaa	Minimal Information About Anatomy ontology	NO	Por definir 
miapa	Minimal Information About a Phylogenetic Analysis	NO	Por definir 
micro	Ontology of Prokaryotic Phenotypic and Metabolic Characters	NO	Por definir 
microscope	Microbial Genome Annotation & Analysis Platform	NO	Por definir 
microsporidia	MicrosporidiaDB	NO	Por definir 
millipore	Merck Millipore (EMD Millipore)	NO	Por definir 
mim	Online Mendelian Inheritance in Man	SI	https://www.wikidata.org/wiki/Q241953 
mim.ps	OMIM Phenotypic Series	NO	Por definir 
mimodb	Mimotope Database	NO	Por definir 
minid	Minimal Viable Identifier	NO	Por definir 
minid.test	MINID Test	NO	Por definir 
mint	Molecular INTeraction Database	NO	Por definir 
mipmod	MIPModDB	NO	Por definir 
mir	Identifiers.org Registry	NO	Por definir 
mirbase	miRBase	SI	https://www.wikidata.org/wiki/Q6826947 
mirbase.family	miRBase Families	SI	https://www.wikidata.org/wiki/Q6826947 
mirbase.mature	miRBase mature sequence	SI	https://www.wikidata.org/wiki/Q6826947 
mirex	mirEX	NO	Por definir 
miriam	Minimal Information Required In the Annotation of Models	NO	Por definir 
miriam.collection	MIRIAM Registry collection	NO	Por definir 
miriam.resource	MIRIAM Registry resource	NO	Por definir 
mirnao	MicroRNA Ontology	NO	Por definir 
mirnest	miRNEST	NO	Por definir 
miro	Mosquito Insecticide Resistance Ontology	NO	Por definir 
mirtarbase	miRTarBase	NO	Por definir 
mirte	miRNA Target Prediction at EMBL	NO	Por definir 
mlc	MLCommons Association	NO	Por definir 
mmdb	Molecular Modeling Database	NO	Por definir 
mmmp.biomaps	Melanoma Molecular Map Project Biomaps	NO	Por definir 
mmo	Measurement Method Ontology	NO	Por definir 
mmp.cat	MarCat	NO	Por definir 
mmp.db	MarDB	NO	Por definir 
mmp.fun	MarFun	NO	Por definir 
mmp.ref	MarRef	NO	Por definir 
mmrrc	Mutant Mouse Resource and Research Centers	NO	Por definir 
mmsl	Multum MediSource Lexicon	NO	Por definir 
mmusdv	Mouse Developmental Stages	NO	Por definir 
mo	MGED Ontology	NO	Por definir 
mobidb	MobiDB	NO	Por definir 
mod	Protein Modification Ontology	NO	Por definir 
modeldb	ModelDB	NO	Por definir 
molbase	Molbase	NO	Por definir 
molbase.sheffield	MolBase	NO	Por definir 
molmedb	MolMeDB: Molecules on Membranes Database	NO	Por definir 
mondo	Monarch Disease Ontology	SI	https://www.wikidata.org/wiki/por definir 
mop	Molecular Process Ontology	NO	Por definir 
morpheus	Morpheus model repository	NO	Por definir 
mp	Mammalian Phenotype Ontology	NO	Por definir 
mpath	Mouse PATHology	NO	Por definir 
mpid	Microbial Protein Interaction Database	NO	Por definir 
mpio	Minimum PDDI Information Ontology	NO	Por definir 
mro	MHC Restriction Ontology	NO	Por definir 
ms	Mass Spectrometry Controlled Vocabulary	NO	Por definir 
msigdb	Molecular Signatures Database	SI	https://www.wikidata.org/wiki/por definir 
msio	Metabolomics Standards Initiative Ontology	NO	Por definir 
multicellds	MultiCellular Data Standard	NO	Por definir 
multicellds.cell_line	MultiCellDS Digital Cell Line	NO	Por definir 
multicellds.collection	MultiCellDS collection	NO	Por definir 
multicellds.snapshot	MultiCellDS Digital snapshot	NO	Por definir 
mw.project	Metabolomics Workbench Project	NO	Por definir 
mw.study	Metabolomics Workbench Study	NO	Por definir 
myco.lepra	MycoBrowser leprae	NO	Por definir 
myco.marinum	MycoBrowser marinum	NO	Por definir 
myco.smeg	MycoBrowser smegmatis	NO	Por definir 
myco.tuber	MycoBrowser tuberculosis	NO	Por definir 
mycobank	MycoBank	NO	Por definir 
mzspec	Universal Spectrum Identifier	NO	Por definir 
n2t	Name-to-Thing	NO	Por definir 
namerxn	NameRXN	NO	Por definir 
napdi	Natural Product-Drug Interaction Research Data Repository	NO	Por definir 
napp	Nucleic Acid Phylogenetic Profile	NO	Por definir 
narcis	NARCIS	NO	Por definir 
nasc	Nottingham Arabidopsis Stock Centre Seeds Database	NO	Por definir 
nbn	National Bibliography Number	NO	Por definir 
nbo	Neuro Behavior Ontology	NO	Por definir 
nbrc	NITE Biological Research Center Catalogue	NO	Por definir 
ncats.drug	NCATS Drugs	NO	Por definir 
ncbi.resource	NCBI Registry	NO	Por definir 
ncbibook	NCBI Bookshelf	NO	Por definir 
ncbigene	NCBI Gene	SI	https://www.wikidata.org/wiki/Q1345229 
ncbiprotein	NCBI Protein	NO	Por definir 
ncbitaxon	NCBI Taxonomy	SI	https://www.wikidata.org/wiki/Q13711410 
ncim	NCI Metathesaurus	NO	Por definir 
ncit	NCI Thesaurus	SI	https://www.wikidata.org/wiki/Q19404626 
ncro	Non-coding RNA Ontology	NO	Por definir 
ndc	National Drug Code	NO	Por definir 
nddf	National Drug Data File	NO	Por definir 
ndex	The Network Data Exchange	NO	Por definir 
ndfrt	National Drug File	SI	https://www.wikidata.org/wiki/Q21008030 
nemo	Neural ElectroMagnetic Ontologies	NO	Por definir 
neurolex	NeuroLex	NO	Por definir 
neuromorpho	NeuroMorpho	NO	Por definir 
neuronames	NeuroNames	SI	https://www.wikidata.org/wiki/por definir 
neurondb	NeuronDB	NO	Por definir 
neurovault.collection	NeuroVault Collection	NO	Por definir 
neurovault.image	NeuroVault Image	NO	Por definir 
nextdb	Nematode Expression Pattern DataBase	NO	Por definir 
nextprot	neXtProt	SI	https://www.wikidata.org/wiki/Q6983890 
nextprot.family	neXtProt family	NO	Por definir 
ngl	NASA GeneLab	NO	Por definir 
nhcdr	NINDS Human Cell and Data Repository	NO	Por definir 
niaest	NIA Mouse cDNA Project	NO	Por definir 
nif_cell	Neuroscience Information Framework (NIF) Cell Ontology	NO	Por definir 
nif_dysfunction	NIF Dysfunction	NO	Por definir 
nif_grossanatomy	NIF Gross Anatomy	NO	Por definir 
nist	NIST Chemistry WebBook	NO	Por definir 
nlm	National Library of Medicine Catalog	NO	Por definir 
nlxanat	NeuroLex Anatomy	NO	Por definir 
nlxdys	NeuroLex Dysfunction	NO	Por definir 
nmdc	National Microbiome Data Collaborative	SI	https://www.wikidata.org/wiki/Q107698738 
nmr	Nuclear Magnetic Resonance Controlled Vocabulary	NO	Por definir 
nmrshiftdb2	nmrshiftdb2	NO	Por definir 
nomen	A nomenclatural ontology for biological names	NO	Por definir 
noncodev3	NONCODE v3	NO	Por definir 
noncodev4.gene	NONCODE v4 Gene	NO	Por definir 
noncodev4.rna	NONCODE v4 Transcript	NO	Por definir 
norine	Non-Ribosomal Peptides Database	NO	Por definir 
novus	Novus Biologicals	NO	Por definir 
npass	Natural Product Activity and Species Source Database	NO	Por definir 
npo	NanoParticle Ontology	NO	Por definir 
nuclearbd	NucleaRDB	NO	Por definir 
nucleotide	Nucleotide	NO	Por definir 
oa	Web Annotation Ontology	NO	Por definir 
oae	Ontology of Adverse Events	NO	Por definir 
oarcs	Ontology of Arthropod Circulatory Systems	NO	Por definir 
oba	Ontology of Biological Attributes	NO	Por definir 
obcs	Ontology of Biological and Clinical Statistics	NO	Por definir 
obi	Ontology for Biomedical Investigations	NO	Por definir 
obib	Ontology for Biobanking	NO	Por definir 
obo	OBO Foundry	NO	Por definir 
oboformat	OBO Format Syntax and Semantics	NO	Por definir 
oboinowl	OBO in OWL	NO	Por definir 
occ	OpenCitations Corpus	NO	Por definir 
oci	Open Citation Identifier	NO	Por definir 
ocid	Ontology Concept Identifiers	NO	Por definir 
oclc	Online Computer Library Center WorldCat	NO	Por definir 
odam	Open Data for Access and Mining	NO	Por definir 
odc.sci	Open Data Commons for Spinal Cord Injury	NO	Por definir 
odc.tbi	Open Data Commons for Traumatic Brain Injury	NO	Por definir 
odor	Odor Molecules DataBase	NO	Por definir 
ogg	Ontology of Genes and Genomes	NO	Por definir 
ogi	Ontology for Genetic Interval	NO	Por definir 
ogms	Ontology for General Medical Science	SI	https://www.wikidata.org/wiki/Q4866972 
ogsf	Ontology for Genetic Susceptibility Factor	NO	Por definir 
ohd	The Oral Health and Disease Ontology	NO	Por definir 
ohmi	Ontology of Host-Microbe Interactions	NO	Por definir 
ohpi	Ontology of Host-Pathogen Interactions	NO	Por definir 
oid	OID Repository	NO	Por definir 
olatdv	Medaka Stage Ontology	NO	Por definir 
om	Ontology of units of Measure	NO	Por definir 
oma.grp	OMA Group	NO	Por definir 
oma.hog	OMA HOGs	NO	Por definir 
oma.protein	OMA Protein	NO	Por definir 
omia	Online Mendelian Inheritance in Animals	NO	Por definir 
omiabis	Ontologized MIABIS	NO	Por definir 
omit	Ontology for MicroRNA Target	SI	https://www.wikidata.org/wiki/Q55118529 
omo	OBO Metadata Ontology	NO	Por definir 
omop	Observational Medical Outcomes Partnership	NO	Por definir 
omp	Ontology of Microbial Phenotypes	SI	https://www.wikidata.org/wiki/Q81661753 
omrse	Ontology of Medically Related Social Entities	NO	Por definir 
oncotree	OncoTree	NO	Por definir 
one	Ontology for Nutritional epidemiology	NO	Por definir 
ons	Ontology for Nutritional Studies	NO	Por definir 
ontoavida	Ontology for Avida digital evolution platform	NO	Por definir 
ontoneo	Obstetric and Neonatal Ontology	NO	Por definir 
oostt	Ontology of Organizational Structures of Trauma centers and Trauma systems	NO	Por definir 
opb	Ontology of Physics for Biology	NO	Por definir 
openalex	OpenAlex	NO	Por definir 
opl	Ontology for Parasite LifeCycle	NO	Por definir 
opm	Open Provenance Model	NO	Por definir 
opmi	Ontology of Precision Medicine and Investigation	NO	Por definir 
orcid	Open Researcher and Contributor ID	SI	https://www.wikidata.org/wiki/Q51044 
ordb	Olfactory Receptor Database	NO	Por definir 
oridb.sacch	OriDB Saccharomyces	NO	Por definir 
oridb.schizo	OriDB Schizosaccharomyces	NO	Por definir 
ornaseq	Ontology of RNA Sequencing	NO	Por definir 
orphanet	Orphanet	SI	https://www.wikidata.org/wiki/Q1515833 
orphanet.ordo	Orphanet Rare Diseases Ontology	NO	Por definir 
orth	Orthology Ontology	NO	Por definir 
orthodb	Database of Orthologous Groups	NO	Por definir 
oryzabase.gene	Oryzabase Gene	NO	Por definir 
oryzabase.mutant	Oryzabase Mutant	NO	Por definir 
oryzabase.reference	Oryzabase Reference	NO	Por definir 
oryzabase.stage	Oryzabase Stage	NO	Por definir 
oryzabase.strain	Oryzabase Strain	NO	Por definir 
otl	Oryza Tag Line	NO	Por definir 
ovae	Ontology of Vaccine Adverse Events	NO	Por definir 
owl	Web Ontology Language	NO	Por definir 
p3db.protein	P3DB Protein	NO	Por definir 
p3db.site	P3DB Site	NO	Por definir 
paleodb	Paleobiology Database	NO	Por definir 
panorama	Panorama Public	NO	Por definir 
panther.family	PANTHER Family	NO	Por definir 
panther.node	PANTHER Node	NO	Por definir 
panther.pathway	PANTHER Pathway	NO	Por definir 
panther.pthcmp	PANTHER Pathway Component	NO	Por definir 
pao	Plant Anatomy Ontology	NO	Por definir 
pass2	Protein Alignment organised as Structural Superfamily	NO	Por definir 
pathbank	PathBank	NO	Por definir 
pathwaycommons	Pathway Commons	NO	Por definir 
pato	Phenotypic QualiTy Ontology	NO	Por definir 
pav	Provenance, Authoring and Versioning Ontology	NO	Por definir 
paxdb.organism	PaxDb Organism	NO	Por definir 
paxdb.protein	PaxDb Protein	NO	Por definir 
pazar	PAZAR	NO	Por definir 
pcl	Provisional Cell Ontology	NO	Por definir 
pco	Population and Community Ontology	NO	Por definir 
pd_st	Platynereis stage ontology	NO	Por definir 
pdb	Worldwide Protein Data Bank	SI	https://www.wikidata.org/wiki/Q766195 
pdb-ccd	Chemical Component Dictionary	NO	Por definir 
pdb.ligand	Protein Data Bank Ligand	SI	https://www.wikidata.org/wiki/por definir 
pdro	The Prescription of Drugs Ontology	NO	Por definir 
pdumdv	Platynereis Developmental Stages	NO	Por definir 
peco	Plant Experimental Condition Ontology	NO	Por definir 
ped	PED	NO	Por definir 
ped.ensemble	Protein Ensemble Database ensemble	NO	Por definir 
peff	PSI Extended File Format	NO	Por definir 
peptideatlas	PeptideAtlas	NO	Por definir 
peptideatlas.dataset	PeptideAtlas Dataset	NO	Por definir 
perkinelmer	PerkinElmer cell line collection	NO	Por definir 
peroxibase	PeroxiBase	NO	Por definir 
pesticides	Alan Wood's Pesticides	NO	Por definir 
pfam	Protein Families	SI	https://www.wikidata.org/wiki/Q906796 
pfam.clan	Pfam Clans	NO	Por definir 
pfr	Texas Data Repository	NO	Por definir 
pgdso	Plant Growth and Development Stage	NO	Por definir 
pgs	Polygenic Score Catalog	NO	Por definir 
pgx	Progenetix	NO	Por definir 
pharmacodb.cell	PharmacoDB Cells	NO	Por definir 
pharmacodb.dataset	PharmacoDB Datasets	NO	Por definir 
pharmacodb.tissue	PharmacoDB Tissues	NO	Por definir 
pharmgkb.disease	PharmGKB Disease	SI	https://www.wikidata.org/wiki/por definir 
pharmgkb.drug	PharmGKB Drug	SI	https://www.wikidata.org/wiki/por definir 
pharmgkb.gene	PharmGKB Gene	SI	https://www.wikidata.org/wiki/por definir 
pharmgkb.pathways	PharmGKB Pathways	SI	https://www.wikidata.org/wiki/por definir 
phenolexplorer	Phenol-Explorer	NO	Por definir 
phenx	PhenX Phenotypic Terms	NO	Por definir 
phipo	Pathogen Host Interaction Phenotype Ontology	NO	Por definir 
phosphopoint.kinase	PhosphoPoint Kinase	NO	Por definir 
phosphopoint.protein	PhosphoPoint Phosphoprotein	NO	Por definir 
phosphosite.protein	PhosphoSite Protein	NO	Por definir 
phosphosite.residue	PhosphoSite Residue	NO	Por definir 
phylomedb	PhylomeDB	NO	Por definir 
phytozome.locus	Phytozome Locus	NO	Por definir 
pictar	PicTar	NO	Por definir 
pid.pathway	Pathway Interaction Database	NO	Por definir 
pigqtldb	Animal Genome Pig QTL	NO	Por definir 
pina	Protein Interaction Network Analysis platform	NO	Por definir 
piroplasma	PiroplasmaDB	NO	Por definir 
pirsf	PIR SuperFamily	NO	Por definir 
pkdb	Pharmacokinetics Database	NO	Por definir 
plana	Planarian Anatomy and Developmental Stage Ontology	NO	Por definir 
planp	Planarian Phenotype Ontology	NO	Por definir 
planttfdb	Plant Transcription Factor Database	NO	Por definir 
plasmodb	PlasmoDB	NO	Por definir 
plo	Plasmodium Life Cycle	NO	Por definir 
pmap.cutdb	CutDB	NO	Por definir 
pmap.substratedb	SubstrateDB	NO	Por definir 
pmc	PubMed Central	SI	https://www.wikidata.org/wiki/por definir 
pmdb	Protein Model Database	NO	Por definir 
pmp	Protein Model Portal	NO	Por definir 
